Defense_System	ARG	OddsRatio	Pvalue	Tool	Padj	Significant	LogOddsRatio
RosmerTA	aadA2b	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aph(3'')-Ib	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aph(3')-Ia	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aph(6)-Id	0	1	DefenseFinder	1	FALSE	-10
AbiJ	blaADC-25	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
AbiJ	sul2	0	1	DefenseFinder	1	FALSE	-10
AbiJ	ARR-2	0	1	DefenseFinder	1	FALSE	-10
AbiJ	CmlA7	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aadA1	0	1	DefenseFinder	1	FALSE	-10
AbiJ	aadA2b	0	1	DefenseFinder	1	FALSE	-10
Gabija	aph(3'')-Ib	0	1	DefenseFinder	1	FALSE	-10
Gabija	aph(3')-Ia	0	1	DefenseFinder	1	FALSE	-10
Gabija	aph(6)-Id	0	1	DefenseFinder	1	FALSE	-10
Gabija	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
Gabija	sul2	0	1	DefenseFinder	1	FALSE	-10
Gabija	ARR-2	0	1	DefenseFinder	1	FALSE	-10
Gabija	CmlA7	0	1	DefenseFinder	1	FALSE	-10
Gabija	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
Gabija	aadA1	0	1	DefenseFinder	1	FALSE	-10
Gabija	aadA2b	0	1	DefenseFinder	1	FALSE	-10
Retron	aph(3'')-Ib	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Retron	aph(3')-Ia	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Retron	aph(6)-Id	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Retron	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
Retron	sul2	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Retron	ARR-2	0	1	DefenseFinder	1	FALSE	-10
Retron	CmlA7	0	1	DefenseFinder	1	FALSE	-10
Retron	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
Retron	aadA1	0	1	DefenseFinder	1	FALSE	-10
Retron	aadA2b	0	1	DefenseFinder	1	FALSE	-10
Shedu	aph(3'')-Ib	0	1	DefenseFinder	1	FALSE	-10
Shedu	aph(3')-Ia	0	1	DefenseFinder	1	FALSE	-10
Shedu	aph(6)-Id	0	1	DefenseFinder	1	FALSE	-10
Shedu	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
Shedu	sul2	0	1	DefenseFinder	1	FALSE	-10
Shedu	ARR-2	0	1	DefenseFinder	1	FALSE	-10
Shedu	CmlA7	0	1	DefenseFinder	1	FALSE	-10
Shedu	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
Shedu	aadA1	0	1	DefenseFinder	1	FALSE	-10
Shedu	aadA2b	Inf	0.04999999999999999	DefenseFinder	0.8928571428571433	FALSE	10
Thoeris	aph(3'')-Ib	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Thoeris	aph(3')-Ia	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Thoeris	aph(6)-Id	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Thoeris	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
Thoeris	sul2	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
Thoeris	ARR-2	0	1	DefenseFinder	1	FALSE	-10
Thoeris	CmlA7	0	1	DefenseFinder	1	FALSE	-10
Thoeris	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
Thoeris	aadA1	0	1	DefenseFinder	1	FALSE	-10
Thoeris	aadA2b	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	aph(3'')-Ib	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	aph(3')-Ia	4.281750948597508	0.3956043956043956	DefenseFinder	1	FALSE	2.0982008826751426
dCTPdeaminase	aph(6)-Id	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	sul2	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	ARR-2	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	CmlA7	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	aac(6')-Ib3	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	aadA1	0	1	DefenseFinder	1	FALSE	-10
dCTPdeaminase	aadA2b	0	1	DefenseFinder	1	FALSE	-10
CBASS	aph(3'')-Ib	8.122781578081801	0.27472527472527475	DefenseFinder	1	FALSE	3.0219738507752703
CBASS	aph(3')-Ia	0	1	DefenseFinder	1	FALSE	-10
CBASS	aph(6)-Id	8.122781578081801	0.27472527472527475	DefenseFinder	1	FALSE	3.0219738507752703
CBASS	blaADC-25	0	1	DefenseFinder	1	FALSE	-10
CBASS	sul2	8.122781578081801	0.27472527472527475	DefenseFinder	1	FALSE	3.0219738507752703
CBASS	ARR-2	0	0.9999999999999999	DefenseFinder	1	FALSE	-10
CBASS	CmlA7	0	0.9999999999999999	DefenseFinder	1	FALSE	-10
CBASS	aac(6')-Ib3	0	0.9999999999999999	DefenseFinder	1	FALSE	-10
CBASS	aadA1	0	0.9999999999999999	DefenseFinder	1	FALSE	-10
CBASS	aadA2b	0	0.9999999999999999	DefenseFinder	1	FALSE	-10
