Genome_ID	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP040260.1	NZ_CP040260.1_Mokosh_Type_I_A_3	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP040260.1_166	NZ_CP040260.1_167	NZ_CP040260.1_166,NZ_CP040260.1_167	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP040260.1	NZ_CP040260.1_BREX_I_5	BREX	BREX_I	Defense	NZ_CP040260.1_175	NZ_CP040260.1_181	NZ_CP040260.1_175,NZ_CP040260.1_176,NZ_CP040260.1_177,NZ_CP040260.1_178,NZ_CP040260.1_180,NZ_CP040260.1_181	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP040260.1	NZ_CP040260.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP040260.1_219	NZ_CP040260.1_219	NZ_CP040260.1_219	1	PD-T4-5__PD-T4-5
NZ_CP033122.1	NZ_CP033122.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP033122.1_19	NZ_CP033122.1_19	NZ_CP033122.1_19	1	AbiJ__AbiJ
NZ_CP033124.1	NZ_CP033124.1_MazEF_1	MazEF	MazEF	Defense	NZ_CP033124.1_13	NZ_CP033124.1_14	NZ_CP033124.1_13,NZ_CP033124.1_14	2	MazEF__MazE,MazEF__MazF
NZ_CP033124.1	NZ_CP033124.1_RM_Type_IV_2	RM	RM_Type_IV	Defense	NZ_CP033124.1_15	NZ_CP033124.1_15	NZ_CP033124.1_15	1	RM_Type_IV__Type_IV_REases
NZ_CP033126.1	NZ_CP033126.1_SanaTA_1	SanaTA	SanaTA	Defense	NZ_CP033126.1_1	NZ_CP033126.1_14	NZ_CP033126.1_1,NZ_CP033126.1_2,NZ_CP033126.1_14	3	SanaTA__SanaA,SanaTA__SanaT,SanaTA__SanaT
NZ_CP033130.1	NZ_CP033130.1_CBASS_III_9	CBASS	CBASS_III	Defense	NZ_CP033130.1_139	NZ_CP033130.1_142	NZ_CP033130.1_139,NZ_CP033130.1_140,NZ_CP033130.1_141,NZ_CP033130.1_142	4	CBASS__Cyclase_II,CBASS__Sensing_TPALS,CBASS__TRIP13,CBASS__bacHORMA_1
NZ_CP033130.1	NZ_CP033130.1_RM_Type_II_11	RM	RM_Type_II	Defense	NZ_CP033130.1_169	NZ_CP033130.1_170	NZ_CP033130.1_169,NZ_CP033130.1_170	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP033130.1	NZ_CP033130.1_Mokosh_Type_I_A_3	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP033130.1_198	NZ_CP033130.1_199	NZ_CP033130.1_198,NZ_CP033130.1_199	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP033130.1	NZ_CP033130.1_CBASS_II_8	CBASS	CBASS_II	Defense	NZ_CP033130.1_205	NZ_CP033130.1_208	NZ_CP033130.1_205,NZ_CP033130.1_206,NZ_CP033130.1_207,NZ_CP033130.1_208	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Jab,CBASS__Sensing_SAVED
NZ_CP033130.1	NZ_CP033130.1_RM_Type_III_12	RM	RM_Type_III	Defense	NZ_CP033130.1_278	NZ_CP033130.1_279	NZ_CP033130.1_278,NZ_CP033130.1_279	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
NZ_CP033130.1	NZ_CP033130.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP033130.1_283	NZ_CP033130.1_287	NZ_CP033130.1_283,NZ_CP033130.1_286,NZ_CP033130.1_287	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP033130.1	NZ_CP033130.1_AbiD_1	AbiD	AbiD	Defense	NZ_CP033130.1_284	NZ_CP033130.1_284	NZ_CP033130.1_284	1	AbiD__AbiD
NZ_CP033131.1	NZ_CP033131.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP033131.1_39	NZ_CP033131.1_44	NZ_CP033131.1_39,NZ_CP033131.1_40,NZ_CP033131.1_41,NZ_CP033131.1_42,NZ_CP033131.1_43,NZ_CP033131.1_44	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP032133.1	NZ_CP032133.1_CBASS_III_3	CBASS	CBASS_III	Defense	NZ_CP032133.1_52	NZ_CP032133.1_55	NZ_CP032133.1_52,NZ_CP032133.1_53,NZ_CP032133.1_54,NZ_CP032133.1_55	4	CBASS__Cyclase_II,CBASS__Endonuc_small,CBASS__TRIP13,CBASS__bacHORMA_1
NZ_CP019145.1	NZ_CP019145.1_RM_Type_II_1	RM	RM_Type_II	Defense	NZ_CP019145.1_1	NZ_CP019145.1_2	NZ_CP019145.1_1,NZ_CP019145.1_2	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP127925.1	NZ_CP127925.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP127925.1_6	NZ_CP127925.1_6	NZ_CP127925.1_6	1	AbiJ__AbiJ
NZ_CP127921.1	NZ_CP127921.1_MazEF_1	MazEF	MazEF	Defense	NZ_CP127921.1_6	NZ_CP127921.1_7	NZ_CP127921.1_6,NZ_CP127921.1_7	2	MazEF__MazE,MazEF__MazF
NZ_CP018261.1	NZ_CP018261.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP018261.1_36	NZ_CP018261.1_41	NZ_CP018261.1_36,NZ_CP018261.1_37,NZ_CP018261.1_38,NZ_CP018261.1_39,NZ_CP018261.1_40,NZ_CP018261.1_41	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP031985.1	NZ_CP031985.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP031985.1_29	NZ_CP031985.1_29	NZ_CP031985.1_29	1	AbiJ__AbiJ
NZ_CP031985.1	NZ_CP031985.1_RM_Type_I_2	RM	RM_Type_I	Defense	NZ_CP031985.1_32	NZ_CP031985.1_34	NZ_CP031985.1_32,NZ_CP031985.1_33,NZ_CP031985.1_34	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP123914.1	NZ_CP123914.1_SanaTA_1	SanaTA	SanaTA	Defense	NZ_CP123914.1_21	NZ_CP123914.1_22	NZ_CP123914.1_21,NZ_CP123914.1_22	2	SanaTA__SanaA,SanaTA__SanaT
NZ_CP123920.1	NZ_CP123920.1_SanaTA_1	SanaTA	SanaTA	Defense	NZ_CP123920.1_29	NZ_CP123920.1_30	NZ_CP123920.1_29,NZ_CP123920.1_30	2	SanaTA__SanaA,SanaTA__SanaT
NZ_CP031995.1	NZ_CP031995.1_PARIS_II_1	Paris	PARIS_II	Defense	NZ_CP031995.1_1	NZ_CP031995.1_5	NZ_CP031995.1_1,NZ_CP031995.1_5	2	Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II
NZ_CP031993.1	NZ_CP031993.1_RM_Type_II_1	RM	RM_Type_II	Defense	NZ_CP031993.1_20	NZ_CP031993.1_21	NZ_CP031993.1_20,NZ_CP031993.1_21	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP031992.1	NZ_CP031992.1_RosmerTA_3	RosmerTA	RosmerTA	Defense	NZ_CP031992.1_20	NZ_CP031992.1_21	NZ_CP031992.1_20,NZ_CP031992.1_21	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP031992.1	NZ_CP031992.1_BREX_I_5	BREX	BREX_I	Defense	NZ_CP031992.1_31	NZ_CP031992.1_37	NZ_CP031992.1_31,NZ_CP031992.1_32,NZ_CP031992.1_33,NZ_CP031992.1_34,NZ_CP031992.1_36,NZ_CP031992.1_37	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP031992.1	NZ_CP031992.1_MqsRAC_1	MqsRAC	MqsRAC	Defense	NZ_CP031992.1_38	NZ_CP031992.1_43	NZ_CP031992.1_38,NZ_CP031992.1_43	2	MqsRAC__mqsC,MqsRAC__mqsR
NZ_CP031992.1	NZ_CP031992.1_Thoeris_II_2	Thoeris	Thoeris_II	Defense	NZ_CP031992.1_49	NZ_CP031992.1_50	NZ_CP031992.1_49,NZ_CP031992.1_50	2	Thoeris_II__ThsA_new_petit,Thoeris__ThsB_Global
NZ_CP033872.1	NZ_CP033872.1_RM_Type_I_1	RM	RM_Type_I	Defense	NZ_CP033872.1_2	NZ_CP033872.1_5	NZ_CP033872.1_2,NZ_CP033872.1_4,NZ_CP033872.1_5	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP072271.1	NZ_CP072271.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP072271.1_87	NZ_CP072271.1_88	NZ_CP072271.1_87,NZ_CP072271.1_88	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP072271.1	NZ_CP072271.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP072271.1_92	NZ_CP072271.1_98	NZ_CP072271.1_92,NZ_CP072271.1_93,NZ_CP072271.1_95,NZ_CP072271.1_96,NZ_CP072271.1_97,NZ_CP072271.1_98	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP104345.1	NZ_CP104345.1_Mokosh_Type_I_A_3	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP104345.1_98	NZ_CP104345.1_99	NZ_CP104345.1_98,NZ_CP104345.1_99	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP104345.1	NZ_CP104345.1_RM_Type_III_5	RM	RM_Type_III	Defense	NZ_CP104345.1_236	NZ_CP104345.1_237	NZ_CP104345.1_236,NZ_CP104345.1_237	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
NZ_CP104345.1	NZ_CP104345.1_Mokosh_Type_I_A_4	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP104345.1_308	NZ_CP104345.1_309	NZ_CP104345.1_308,NZ_CP104345.1_309	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_AP021938.1	NZ_AP021938.1_RM_Type_II_1	RM	RM_Type_II	Defense	NZ_AP021938.1_10	NZ_AP021938.1_11	NZ_AP021938.1_10,NZ_AP021938.1_11	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP014478.1	NZ_CP014478.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP014478.1_117	NZ_CP014478.1_117	NZ_CP014478.1_117	1	PD-T4-5__PD-T4-5
NZ_CP014478.1	NZ_CP014478.1_RM_Type_I_2	RM	RM_Type_I	Defense	NZ_CP014478.1_119	NZ_CP014478.1_122	NZ_CP014478.1_119,NZ_CP014478.1_120,NZ_CP014478.1_122	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP027659.1	NZ_CP027659.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP027659.1_153	NZ_CP027659.1_154	NZ_CP027659.1_153,NZ_CP027659.1_154	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP027659.1	NZ_CP027659.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP027659.1_158	NZ_CP027659.1_163	NZ_CP027659.1_158,NZ_CP027659.1_159,NZ_CP027659.1_160,NZ_CP027659.1_161,NZ_CP027659.1_162,NZ_CP027659.1_163	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP027660.1	NZ_CP027660.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP027660.1_37	NZ_CP027660.1_38	NZ_CP027660.1_37,NZ_CP027660.1_38	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP027660.1	NZ_CP027660.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP027660.1_123	NZ_CP027660.1_128	NZ_CP027660.1_123,NZ_CP027660.1_124,NZ_CP027660.1_125,NZ_CP027660.1_126,NZ_CP027660.1_127,NZ_CP027660.1_128	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP029006.1	NZ_CP029006.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP029006.1_208	NZ_CP029006.1_209	NZ_CP029006.1_208,NZ_CP029006.1_209	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP029006.1	NZ_CP029006.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP029006.1_213	NZ_CP029006.1_218	NZ_CP029006.1_213,NZ_CP029006.1_214,NZ_CP029006.1_215,NZ_CP029006.1_216,NZ_CP029006.1_217,NZ_CP029006.1_218	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP029007.1	NZ_CP029007.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP029007.1_46	NZ_CP029007.1_47	NZ_CP029007.1_46,NZ_CP029007.1_47	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP029007.1	NZ_CP029007.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP029007.1_128	NZ_CP029007.1_133	NZ_CP029007.1_128,NZ_CP029007.1_129,NZ_CP029007.1_130,NZ_CP029007.1_131,NZ_CP029007.1_132,NZ_CP029007.1_133	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP123767.1	NZ_CP123767.1_RM_Type_II_4	RM	RM_Type_II	Defense	NZ_CP123767.1_9	NZ_CP123767.1_10	NZ_CP123767.1_9,NZ_CP123767.1_10	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP123767.1	NZ_CP123767.1_CBASS_I_3	CBASS	CBASS_I	Defense	NZ_CP123767.1_11	NZ_CP123767.1_12	NZ_CP123767.1_11,NZ_CP123767.1_12	2	CBASS__Cyclase_II,CBASS__Effector_4TM_S_4TM
NZ_CP123767.1	NZ_CP123767.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP123767.1_28	NZ_CP123767.1_28	NZ_CP123767.1_28	1	PD-T4-5__PD-T4-5
NZ_CP139272.1	NZ_CP139272.1_Gao_Ppl_1	Gao_Ppl	Gao_Ppl	Defense	NZ_CP139272.1_1	NZ_CP139272.1_1	NZ_CP139272.1_1	1	Gao_Ppl__PplA
NZ_CP139272.1	NZ_CP139272.1_RM_Type_I_3	RM	RM_Type_I	Defense	NZ_CP139272.1_3	NZ_CP139272.1_6	NZ_CP139272.1_3,NZ_CP139272.1_4,NZ_CP139272.1_6	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP139272.1	NZ_CP139272.1_RosmerTA_2	RosmerTA	RosmerTA	Defense	NZ_CP139272.1_34	NZ_CP139272.1_35	NZ_CP139272.1_34,NZ_CP139272.1_35	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP139283.1	NZ_CP139283.1_CBASS_III_6	CBASS	CBASS_III	Defense	NZ_CP139283.1_2	NZ_CP139283.1_5	NZ_CP139283.1_2,NZ_CP139283.1_3,NZ_CP139283.1_4,NZ_CP139283.1_5	4	CBASS__Cyclase_II,CBASS__Endonuc_small,CBASS__TRIP13,CBASS__bacHORMA_1
NZ_CP139283.1	NZ_CP139283.1_BREX_I_3	BREX	BREX_I	Defense	NZ_CP139283.1_69	NZ_CP139283.1_76	NZ_CP139283.1_69,NZ_CP139283.1_70,NZ_CP139283.1_73,NZ_CP139283.1_74,NZ_CP139283.1_75,NZ_CP139283.1_76	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP139283.1	NZ_CP139283.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP139283.1_147	NZ_CP139283.1_147	NZ_CP139283.1_147	1	PD-T4-5__PD-T4-5
NZ_CP139945.1	NZ_CP139945.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP139945.1_70	NZ_CP139945.1_76	NZ_CP139945.1_70,NZ_CP139945.1_71,NZ_CP139945.1_73,NZ_CP139945.1_74,NZ_CP139945.1_75,NZ_CP139945.1_76	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP114602.1	NZ_CP114602.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP114602.1_53	NZ_CP114602.1_58	NZ_CP114602.1_53,NZ_CP114602.1_54,NZ_CP114602.1_55,NZ_CP114602.1_56,NZ_CP114602.1_57,NZ_CP114602.1_58	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP114603.1	NZ_CP114603.1_RM_Type_II_2	RM	RM_Type_II	Defense	NZ_CP114603.1_1	NZ_CP114603.1_3	NZ_CP114603.1_1,NZ_CP114603.1_2,NZ_CP114603.1_3	3	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP114603.1	NZ_CP114603.1_Viperin_1	Viperin	Viperin	Defense	NZ_CP114603.1_34	NZ_CP114603.1_34	NZ_CP114603.1_34	1	Viperin__pVip
NZ_CP060814.1	NZ_CP060814.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP060814.1_17	NZ_CP060814.1_17	NZ_CP060814.1_17	1	PD-T4-5__PD-T4-5
NZ_CP060812.1	NZ_CP060812.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP060812.1_27	NZ_CP060812.1_32	NZ_CP060812.1_27,NZ_CP060812.1_28,NZ_CP060812.1_29,NZ_CP060812.1_30,NZ_CP060812.1_31,NZ_CP060812.1_32	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP060813.1	NZ_CP060813.1_RosmerTA_1	RosmerTA	RosmerTA	Defense	NZ_CP060813.1_12	NZ_CP060813.1_13	NZ_CP060813.1_12,NZ_CP060813.1_13	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP104653.1	NZ_CP104653.1_RosmerTA_1	RosmerTA	RosmerTA	Defense	NZ_CP104653.1_25	NZ_CP104653.1_26	NZ_CP104653.1_25,NZ_CP104653.1_26	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP104653.1	NZ_CP104653.1_BREX_I_3	BREX	BREX_I	Defense	NZ_CP104653.1_57	NZ_CP104653.1_62	NZ_CP104653.1_57,NZ_CP104653.1_58,NZ_CP104653.1_59,NZ_CP104653.1_60,NZ_CP104653.1_61,NZ_CP104653.1_62	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP104653.1	NZ_CP104653.1_CBASS_III_6	CBASS	CBASS_III	Defense	NZ_CP104653.1_64	NZ_CP104653.1_67	NZ_CP104653.1_64,NZ_CP104653.1_65,NZ_CP104653.1_66,NZ_CP104653.1_67	4	CBASS__Cyclase_II,CBASS__Endonuc_small,CBASS__TRIP13,CBASS__bacHORMA_1
NZ_CP130326.1	NZ_CP130326.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP130326.1_114	NZ_CP130326.1_120	NZ_CP130326.1_114,NZ_CP130326.1_115,NZ_CP130326.1_116,NZ_CP130326.1_117,NZ_CP130326.1_119,NZ_CP130326.1_120	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP130329.1	NZ_CP130329.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP130329.1_17	NZ_CP130329.1_17	NZ_CP130329.1_17	1	PD-T4-5__PD-T4-5
NZ_CP130330.1	NZ_CP130330.1_RosmerTA_1	RosmerTA	RosmerTA	Defense	NZ_CP130330.1_55	NZ_CP130330.1_56	NZ_CP130330.1_55,NZ_CP130330.1_56	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP078046.1	NZ_CP078046.1_RM_Type_IIG_8	RM	RM_Type_IIG	Defense	NZ_CP078046.1_6	NZ_CP078046.1_6	NZ_CP078046.1_6	1	RM_Type_IIG__Type_IIG
NZ_CP078046.1	NZ_CP078046.1_Mokosh_Type_I_A_4	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP078046.1_200	NZ_CP078046.1_201	NZ_CP078046.1_200,NZ_CP078046.1_201	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP078046.1	NZ_CP078046.1_CBASS_II_7	CBASS	CBASS_II	Defense	NZ_CP078046.1_204	NZ_CP078046.1_207	NZ_CP078046.1_204,NZ_CP078046.1_205,NZ_CP078046.1_206,NZ_CP078046.1_207	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Jab,CBASS__Sensing_SAVED
NZ_CP078046.1	NZ_CP078046.1_RM_Type_III_9	RM	RM_Type_III	Defense	NZ_CP078046.1_266	NZ_CP078046.1_267	NZ_CP078046.1_266,NZ_CP078046.1_267	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
NZ_CP078046.1	NZ_CP078046.1_Gao_Qat_2	Gao_Qat	Gao_Qat	Defense	NZ_CP078046.1_268	NZ_CP078046.1_271	NZ_CP078046.1_268,NZ_CP078046.1_269,NZ_CP078046.1_270,NZ_CP078046.1_271	4	Gao_Qat__QatA,Gao_Qat__QatB,Gao_Qat__QatC,Gao_Qat__QatD
NZ_CP078046.1	NZ_CP078046.1_DRT_2_1	DRT	DRT_2	Defense	NZ_CP078046.1_277	NZ_CP078046.1_277	NZ_CP078046.1_277	1	DRT_2__drt2
NZ_CP078050.1	NZ_CP078050.1_AbiD_1	AbiD	AbiD	Defense	NZ_CP078050.1_2	NZ_CP078050.1_2	NZ_CP078050.1_2	1	AbiD__AbiD
NZ_CP078052.1	NZ_CP078052.1_Septu_1	Septu	Septu	Defense	NZ_CP078052.1_3	NZ_CP078052.1_4	NZ_CP078052.1_3,NZ_CP078052.1_4	2	Septu__PtuA,Septu__PtuB
